31
188 117 50.1196 70.6069 -0.00164423 50.1222 69.9996 -0.00349066 -114.261 0 2.71212 0 66 1 64 [253, 190, 196, 218, 239, 126, 223, 255, 255, 255, 222, 253, 247, 118, 218, 118, 247, 223, 127, 247, 251, 205, 221, 145, 254, 223, 255, 253, 255, 255, 243, 202, 127, 171, 49, 184, 95, 249, 241, 79, 238, 191, 179, 95, 235, 239, 10, 186, 52, 149, 125, 80, 20, 86, 27, 231, 253, 174, 123, 200, 109, 9, 93, 202]  
187 179 51.1948 70.5848 -0.00165751 50.1222 69.9996 -0.00349066 108.208 1 2.70769 0 52 1 64 [186, 103, 73, 45, 239, 183, 223, 254, 254, 255, 198, 255, 125, 119, 127, 118, 239, 253, 119, 187, 254, 204, 217, 213, 254, 207, 243, 189, 223, 255, 183, 235, 127, 169, 59, 168, 95, 169, 241, 23, 238, 255, 191, 87, 235, 175, 42, 154, 254, 149, 253, 16, 148, 86, 25, 231, 253, 174, 119, 72, 109, 25, 81, 202]  
146 193 51.7736 69.8723 -0.00213555 50.3674 69.9998 0.00178288 -6.84277 2 2.90313 0 32 1 64 [21, 160, 32, 64, 8, 162, 8, 13, 84, 13, 156, 103, 184, 33, 162, 0, 2, 42, 0, 160, 12, 1, 72, 66, 64, 11, 74, 93, 129, 189, 145, 233, 149, 2, 50, 48, 211, 137, 161, 156, 98, 156, 4, 20, 143, 232, 150, 16, 36, 103, 236, 2, 178, 68, 137, 183, 101, 204, 130, 200, 79, 10, 16, 40]  
91 192 52.9859 68.8384 -0.00715124 51.6248 69.9778 -0.00435903 123.614 4 2.85733 0 75 1 64 [168, 103, 205, 173, 235, 255, 93, 247, 255, 255, 222, 255, 253, 55, 246, 118, 255, 221, 125, 255, 242, 77, 221, 148, 254, 223, 255, 189, 255, 255, 247, 202, 127, 163, 49, 186, 127, 249, 241, 94, 238, 127, 187, 87, 251, 175, 42, 186, 126, 149, 125, 208, 20, 86, 27, 247, 253, 175, 123, 72, 109, 25, 87, 202]  
187 193 53.658 70.5838 -0.0089317 52.2403 69.9521 -0.0030409 122.085 5 2.92381 0 42 1 64 [153, 111, 79, 173, 235, 255, 95, 247, 255, 255, 222, 255, 253, 55, 246, 114, 255, 255, 127, 183, 246, 77, 221, 212, 254, 223, 251, 253, 239, 255, 241, 202, 127, 171, 51, 184, 127, 249, 241, 86, 238, 191, 183, 87, 235, 175, 42, 154, 60, 149, 125, 0, 20, 87, 25, 231, 253, 174, 123, 200, 109, 9, 81, 202]  
96 85 56.6056 68.7876 -0.0127338 57.2404 69.8613 -0.0162577 138.16 7 2.97222 0 36 1 64 [184, 78, 223, 189, 235, 63, 93, 247, 255, 255, 222, 253, 253, 246, 244, 114, 253, 223, 251, 255, 214, 221, 221, 148, 126, 253, 247, 189, 255, 251, 227, 218, 127, 161, 81, 218, 127, 245, 241, 94, 238, 255, 187, 87, 219, 175, 42, 154, 254, 149, 117, 80, 20, 214, 25, 231, 253, 174, 127, 72, 109, 25, 83, 202]  
47 109 60.085 67.1807 0.0117466 60.256 69.8292 0.0184225 175.515 8 3.9 0 38 1 64 [32, 77, 193, 153, 170, 26, 0, 50, 41, 230, 42, 8, 0, 0, 16, 16, 2, 2, 8, 69, 2, 129, 16, 0, 134, 214, 37, 132, 55, 139, 166, 80, 112, 33, 193, 40, 47, 208, 81, 205, 238, 64, 186, 17, 69, 13, 10, 186, 193, 149, 101, 216, 0, 16, 3, 102, 252, 171, 122, 72, 7, 3, 21, 224]  
50 141 59.9869 67.6739 0.0185706 59.4813 69.8147 0.00795051 130.101 9 3.25455 0 33 1 64 [5, 138, 196, 208, 195, 72, 12, 9, 1, 12, 186, 128, 80, 96, 0, 76, 51, 2, 8, 132, 128, 97, 20, 0, 12, 82, 32, 81, 128, 205, 72, 146, 16, 2, 192, 56, 129, 97, 48, 80, 12, 181, 0, 68, 70, 137, 146, 177, 1, 3, 6, 0, 20, 66, 153, 69, 221, 164, 99, 72, 13, 0, 4, 2]  
182 190 62.1294 70.3883 0.0110454 60.7541 69.8063 0.0205242 -45.6031 10 2.984 0 50 1 64 [184, 103, 75, 45, 239, 191, 95, 247, 254, 255, 214, 255, 253, 183, 247, 114, 253, 253, 247, 191, 246, 93, 217, 244, 254, 237, 123, 189, 207, 127, 117, 203, 127, 163, 59, 218, 95, 253, 249, 23, 238, 255, 255, 119, 219, 175, 42, 154, 190, 149, 125, 16, 20, 215, 25, 231, 253, 174, 127, 72, 109, 25, 83, 218]  
86 193 62.3638 68.4663 0.00834682 60.7902 69.8071 0.0198261 -1.33222 11 3.2 0 50 1 64 [252, 254, 190, 253, 255, 63, 255, 255, 255, 255, 255, 233, 215, 254, 223, 251, 253, 254, 255, 222, 235, 127, 247, 189, 127, 225, 179, 179, 202, 216, 104, 198, 138, 118, 212, 28, 95, 119, 126, 50, 255, 191, 51, 247, 202, 191, 139, 147, 53, 215, 3, 37, 92, 246, 25, 205, 253, 46, 115, 76, 204, 41, 193, 218]  
200 193 63.0008 70.7331 -0.00208621 61.533 69.8094 0.00560627 171.363 12 3.04444 0 72 1 64 [168, 110, 133, 157, 239, 190, 45, 179, 59, 219, 62, 225, 225, 227, 150, 16, 121, 249, 72, 173, 242, 85, 213, 0, 14, 197, 35, 181, 200, 242, 96, 198, 82, 2, 209, 152, 63, 97, 117, 20, 172, 181, 176, 117, 75, 141, 74, 144, 56, 129, 71, 0, 20, 86, 57, 141, 253, 166, 115, 72, 77, 9, 81, 194]  
174 193 63.0015 70.2261 -0.00311907 61.533 69.8094 0.00560627 2.33731 13 3.04 0 40 1 64 [95, 55, 50, 70, 92, 166, 250, 76, 86, 13, 165, 103, 187, 173, 139, 79, 114, 236, 151, 162, 253, 82, 239, 99, 99, 41, 26, 145, 200, 253, 88, 233, 153, 242, 20, 20, 222, 163, 166, 50, 243, 157, 134, 199, 207, 232, 135, 150, 36, 79, 36, 3, 212, 230, 89, 231, 67, 236, 19, 92, 205, 13, 81, 138]  
94 191 63.3136 68.6991 -0.00750482 61.9134 69.823 -0.000994639 -146.725 14 2.97368 0 38 1 64 [101, 144, 222, 214, 10, 26, 153, 126, 5, 102, 168, 8, 150, 216, 24, 207, 118, 86, 223, 74, 89, 188, 52, 169, 120, 48, 189, 52, 240, 77, 202, 88, 185, 245, 64, 155, 138, 194, 118, 46, 95, 226, 187, 11, 150, 122, 90, 230, 212, 93, 81, 211, 91, 200, 65, 75, 238, 194, 12, 29, 206, 215, 34, 207]  
192 171 63.3417 70.5815 -0.00964249 62.3123 69.8389 -0.0038594 119.894 15 2.992 0 50 1 64 [153, 103, 75, 45, 239, 255, 95, 247, 254, 255, 214, 255, 125, 55, 246, 118, 255, 253, 115, 183, 246, 76, 217, 212, 254, 207, 123, 253, 207, 255, 117, 235, 127, 163, 51, 248, 95, 233, 241, 150, 238, 191, 191, 87, 235, 175, 42, 154, 62, 149, 125, 0, 20, 87, 25, 231, 253, 174, 115, 72, 109, 9, 81, 202]  
94 178 63.8765 68.6877 -0.013629 62.7185 69.8259 -0.00499952 116.565 16 3 0 34 1 64 [184, 111, 205, 189, 239, 191, 95, 255, 255, 255, 222, 255, 253, 55, 250, 118, 255, 223, 125, 255, 242, 205, 221, 149, 254, 223, 255, 189, 255, 255, 247, 202, 127, 163, 49, 184, 127, 249, 241, 94, 238, 191, 187, 95, 251, 175, 42, 154, 126, 149, 125, 208, 20, 87, 31, 231, 253, 175, 123, 200, 109, 25, 83, 234]  
50 128 64.9827 67.4941 -0.0123497 64.7838 69.797 -0.0140251 -160.821 17 3.49 0 40 1 64 [162, 69, 33, 1, 20, 131, 2, 132, 8, 16, 0, 19, 40, 5, 1, 0, 128, 161, 0, 33, 36, 0, 194, 192, 130, 12, 2, 12, 129, 50, 53, 161, 70, 40, 3, 4, 46, 0, 129, 149, 100, 64, 223, 16, 13, 32, 0, 16, 160, 164, 101, 136, 0, 20, 42, 244, 16, 143, 18, 96, 3, 2, 16, 32]  
95 193 65.112 68.6929 -0.0210804 63.6903 69.8192 -0.0159567 -125.157 18 2.97368 0 38 1 64 [223, 182, 36, 74, 253, 252, 222, 191, 247, 239, 222, 255, 253, 53, 250, 94, 247, 255, 95, 183, 255, 77, 221, 211, 126, 201, 123, 189, 239, 255, 241, 235, 63, 171, 51, 152, 223, 249, 241, 22, 238, 189, 183, 95, 235, 239, 10, 222, 52, 149, 109, 0, 181, 86, 25, 231, 253, 174, 115, 200, 77, 9, 121, 202]  
90 193 68.8744 68.5247 0.00052268 67.3908 69.7497 0.00442244 -103.745 19 3.05556 0 36 1 64 [31, 142, 32, 88, 237, 127, 78, 171, 254, 255, 222, 191, 229, 33, 170, 20, 3, 43, 17, 247, 54, 201, 217, 192, 158, 207, 107, 221, 175, 255, 179, 235, 87, 171, 51, 184, 219, 249, 241, 215, 238, 189, 183, 87, 239, 175, 10, 154, 52, 149, 237, 8, 52, 86, 27, 247, 253, 174, 243, 200, 77, 9, 93, 202]  
191 192 70.5168 70.432 0.00580553 69.0584 69.6699 0.0104405 119.24 20 3.0717 0 53 1 64 [153, 111, 75, 45, 239, 255, 77, 247, 254, 255, 222, 255, 253, 55, 246, 118, 255, 253, 121, 191, 246, 77, 217, 212, 254, 207, 123, 253, 239, 255, 113, 234, 127, 171, 51, 248, 95, 249, 241, 214, 238, 191, 183, 87, 235, 175, 42, 154, 62, 149, 125, 0, 20, 87, 25, 231, 253, 174, 123, 200, 109, 9, 81, 202]  
93 165 71.043 68.5104 -0.00178778 70.1373 69.6526 -0.000474575 125.538 21 2.97436 0 39 1 64 [185, 111, 141, 189, 235, 254, 223, 255, 255, 255, 222, 255, 253, 119, 254, 118, 255, 255, 125, 255, 243, 77, 221, 149, 254, 223, 255, 253, 255, 255, 247, 202, 127, 171, 51, 248, 127, 249, 241, 214, 238, 191, 183, 95, 251, 175, 42, 154, 60, 149, 125, 64, 52, 86, 25, 247, 253, 174, 123, 200, 109, 9, 83, 202]  
191 150 71.7697 70.3855 -0.00228909 71.1379 69.6543 -0.00373233 -107.811 22 3.01702 0 47 1 64 [252, 191, 172, 248, 255, 254, 255, 255, 255, 255, 222, 255, 255, 119, 250, 118, 247, 251, 127, 247, 255, 77, 221, 149, 254, 223, 255, 253, 255, 255, 247, 203, 127, 167, 51, 184, 95, 249, 241, 223, 238, 191, 183, 87, 235, 239, 42, 154, 52, 181, 125, 80, 53, 86, 31, 247, 253, 174, 251, 200, 109, 9, 93, 234]  
93 192 74.6844 68.4541 -0.00414303 73.2739 69.6112 -0.010079 141.189 24 2.97727 0 44 1 64 [186, 85, 59, 61, 247, 119, 183, 212, 206, 18, 199, 168, 85, 159, 85, 243, 201, 213, 247, 155, 82, 30, 202, 180, 182, 106, 28, 183, 197, 42, 36, 166, 123, 240, 17, 230, 127, 135, 77, 7, 238, 90, 251, 115, 147, 39, 43, 154, 254, 188, 121, 13, 84, 149, 217, 247, 255, 158, 244, 108, 237, 157, 83, 251]  
200 192 74.9853 70.4934 -0.00546767 73.5384 69.6067 -0.0121424 -148.449 25 3.00714 0 56 1 64 [232, 55, 151, 154, 255, 94, 191, 55, 59, 234, 191, 232, 193, 100, 218, 92, 251, 212, 14, 202, 194, 65, 183, 136, 254, 198, 53, 177, 226, 195, 228, 194, 89, 166, 192, 59, 47, 225, 117, 23, 206, 53, 179, 71, 66, 47, 10, 154, 20, 149, 67, 1, 20, 82, 153, 69, 253, 174, 115, 72, 77, 1, 1, 202]  
83 117 75.1433 68.1871 -0.00692552 75.1569 69.593 -0.00237697 5.96449 26 3.13913 0 46 1 64 [233, 158, 222, 190, 249, 253, 221, 235, 187, 251, 218, 255, 253, 239, 254, 255, 95, 127, 255, 190, 183, 127, 247, 175, 111, 237, 243, 187, 239, 249, 235, 206, 15, 215, 80, 153, 53, 247, 254, 114, 191, 189, 1, 87, 234, 159, 10, 146, 53, 145, 71, 36, 92, 214, 29, 239, 253, 174, 115, 76, 72, 9, 209, 206]  
132 188 78.6269 68.9075 -0.0176375 76.5167 69.572 -0.0138765 72.5252 28 4.72727 0 44 1 64 [5, 202, 132, 149, 7, 75, 12, 17, 1, 0, 136, 128, 64, 4, 0, 32, 81, 135, 8, 197, 16, 81, 20, 128, 8, 18, 33, 229, 129, 203, 96, 2, 26, 34, 17, 152, 11, 225, 113, 22, 110, 185, 179, 81, 203, 43, 26, 144, 52, 149, 101, 0, 20, 82, 25, 230, 253, 174, 115, 72, 5, 9, 81, 202]  
130 85 78.9792 68.8818 0.00999248 79.9078 69.5434 0.0100492 24.7751 29 4.43226 0 31 1 64 [3, 9, 96, 208, 149, 1, 2, 1, 0, 0, 2, 16, 64, 1, 0, 20, 2, 32, 8, 128, 128, 64, 2, 0, 8, 66, 2, 4, 129, 152, 64, 136, 0, 34, 1, 52, 13, 192, 17, 16, 32, 48, 128, 84, 73, 164, 128, 16, 32, 0, 100, 8, 20, 66, 8, 39, 16, 164, 83, 72, 5, 0, 16, 2]  
186 190 79.1815 70.2173 0.0101652 77.8093 69.5594 0.0207308 -48.7664 30 2.98095 0 42 1 64 [184, 103, 159, 45, 239, 255, 95, 247, 255, 255, 222, 255, 253, 183, 246, 114, 253, 255, 127, 255, 246, 93, 221, 180, 254, 237, 255, 189, 255, 255, 247, 203, 127, 163, 49, 218, 95, 249, 249, 95, 238, 191, 191, 119, 251, 175, 42, 154, 62, 181, 125, 80, 20, 215, 25, 231, 253, 174, 127, 72, 125, 25, 83, 218]  
160 193 84.8654 70.4611 0.178717 83.4709 69.9786 0.240782 -174.987 41 3.03684 0 38 1 64 [170, 111, 7, 15, 255, 191, 45, 179, 59, 251, 63, 247, 233, 167, 246, 48, 25, 255, 8, 173, 214, 85, 247, 8, 142, 237, 99, 185, 202, 242, 101, 198, 94, 34, 209, 152, 63, 97, 245, 20, 172, 181, 179, 116, 75, 159, 74, 146, 40, 145, 71, 40, 4, 214, 57, 205, 253, 174, 115, 72, 73, 9, 81, 194]  
62 136 84.9915 68.399 0.0314677 84.4732 70.13 0.0897409 -107.538 56 3.04103 0 39 1 64 [158, 183, 96, 74, 255, 254, 254, 255, 255, 255, 222, 255, 255, 55, 251, 118, 247, 255, 119, 183, 255, 77, 217, 211, 254, 223, 251, 253, 255, 255, 183, 235, 127, 171, 51, 184, 95, 185, 241, 223, 238, 159, 183, 87, 235, 175, 10, 154, 52, 149, 237, 80, 181, 86, 27, 231, 253, 175, 123, 200, 77, 9, 125, 202]  
155 189 86.4724 70.1921 0.00490173 85.1061 70.1469 0.00518534 -91.6847 72 2.98095 0 42 1 64 [253, 127, 205, 249, 239, 126, 223, 255, 255, 255, 222, 255, 255, 119, 251, 118, 255, 255, 125, 255, 255, 205, 217, 213, 254, 223, 255, 253, 255, 255, 247, 219, 127, 171, 51, 184, 223, 249, 241, 223, 238, 31, 191, 95, 255, 239, 58, 186, 126, 181, 253, 216, 183, 87, 31, 247, 253, 175, 255, 200, 109, 27, 127, 234]  
